section_name,division_name,group_name,class_name,includes,excludes
manufacturing,manufacture of chemicals and chemical products,manufacture of other chemical products,"manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","manufacture of organic surface,active agents , manufacture of soap , manufacture of paper, wadding, felt etc. coated or covered with soap or detergent , manufacture of crude glycerol , manufacture of surface,active preparations: * washing powders in solid or liquid form and detergents * dish,washing preparations * textile softeners , manufacture of cleaning and polishing products: * preparations for perfuming or deodorizing rooms * artificial waxes and prepared waxes * polishes and creams for leather * polishes and creams for wood * polishes for coachwork, glass and metal * scouring pastes and powders, including paper, wadding etc. coated or covered with these , manufacture of perfumes and toilet preparations: * perfumes and toilet water * beauty and make,up preparations * sunburn prevention and suntan preparations * manicure and pedicure preparations * shampoos, hair lacquers, waving and straightening preparations * dentifrices and preparations for oral hygiene, including denture fixative preparations * shaving preparations, including pre,shave and aftershave preparations * deodorants and bath salts * depilatories","manufacture of separate, chemically defined compounds, manufacture of glycerol, synthesized from petroleum products, extraction and refining of natural essential oils"
manufacturing,manufacture of chemicals and chemical products,manufacture of other chemical products,manufacture of other chemical products n.e.c,"manufacture of propellant powders , manufacture of explosives and pyrotechnic products, including percussion caps, detonators, signalling flares etc. , manufacture of gelatine and its derivatives , manufacture of glues and prepared adhesives, including rubber,based glues and adhesives , manufacture of extracts of natural aromatic products , manufacture of resinoids , manufacture of aromatic distilled waters , manufacture of mixtures of odoriferous products for the manufacture of perfumes or food , manufacture of e,liquids used in vaping devices , manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials , manufacture of chemical preparations for photographic uses , manufacture of various chemical products: * peptones, peptone derivatives, other protein substances and their derivatives n.e.c. * essential oils * chemically modified oils and fats * materials used in the finishing of textiles and leather * powders and pastes used in soldering, brazing or welding * substances used to pickle metal * prepared additives for cements * activated carbon, lubricating oil additives, prepared rubber accelerators, catalysts and other chemical products for industrial use * anti,knock preparations, antifreeze preparations * composite diagnostic or laboratory reagents; this class also includes: , manufacture of biofuels , manufacture of writing and drawing ink , manufacture of matches","manufacture of chemically defined products in bulk, manufacture of distilled water, manufacture of synthetic aromatic products, manufacture of printing ink, manufacture of perfumes and toilet preparations, manufacture of asphalt,based adhesives"
manufacturing,manufacture of chemicals and chemical products,"manufacture of man,made fibres","manufacture of man,made fibres","manufacture of synthetic or artificial filament tow , manufacture of synthetic or artificial staple fibres, not carded, combed or otherwise processed for spinning , manufacture of synthetic or artificial filament yarn, including high,tenacity yarn , manufacture of synthetic or artificial monofilament or strip , manufacture of recycled fibres","spinning of synthetic or artificial fibres, manufacture of yarns made of man,made filaments or staple fibres, manufacture of carbon fibres, 2399"
manufacturing,manufacture of basic pharmaceutical products and pharmaceutical preparations,"manufacture of pharmaceuticals, medicinal chemical and botanical products","manufacture of pharmaceuticals, medicinal chemical and botanical products","manufacture of medicinal active substances to be used for their pharmacological properties in the manufacture of medicaments: antibiotics, basic vitamins, salicylic and o,acetylsalicylic acids etc. , processing of blood , manufacture of medicaments: * antisera and other blood fractions * vaccines * diverse medicaments, including homeopathic preparations , manufacture of chemical contraceptive products for external use and hormonal contraceptive medicaments , manufacture of medical diagnostic preparations, including pregnancy tests , manufacture of radioactive in,vivo diagnostic substances , manufacture of biotech pharmaceuticals; this class also includes: , manufacture of chemically pure sugars , processing of glands and manufacture of extracts of glands etc. , manufacture of medical impregnated wadding, gauze, bandages, dressings etc. , preparation of botanical products (grinding, grading, milling) for pharmaceutical use","manufacture of probiotics, manufacture of herb infusions (mint, vervain, chamomile etc.), manufacture of dental fillings and dental cement, manufacture of bone reconstruction cements, wholesale of pharmaceuticals, retail sale of pharmaceuticals, research and development for pharmaceuticals and biotech pharmaceuticals, packaging of pharmaceuticals"
manufacturing,manufacture of rubber and plastic products,manufacture of rubber products,manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,"manufacture of rubber tyres for vehicles, equipment, mobile machinery, aircraft, toy, furniture and other uses:  pneumatic tyres  solid or cushion tyres , manufacture of inner tubes for tyres , manufacture of interchangeable tyre treads, tyre flaps, ""camelback"" strips for retreading tyres etc. , tyre rebuilding and retreading","manufacture of tube repair materials, tyre and tube repair, fitting or replacement"
manufacturing,manufacture of rubber and plastic products,manufacture of rubber products,manufacture of other rubber products,"manufacture of other products of natural or synthetic rubber, unvulcanised, vulcanised or hardened:  rubber plates, sheets, strip, rods, profile shapes  tubes, pipes and hoses  rubber conveyor or transmission belts or belting  rubber hygienic articles: sheath contraceptives, teats, hot water bottles etc.  rubber articles of apparel  rubber thread and rope  rubberised yarn and fabrics  rubber rings, fittings and seals  rubber roller coverings  inflatable rubber mattresses  inflatable balloons , manufacture of rubber brushes , manufacture of hard rubber pipe stems , manufacture of hard rubber combs, hair pins, hair rollers, and similar , manufacture of rubber expansion joints for the construction industry , manufacture of cellular rubber latex , manufacture of rubber floor coverings; this class also includes: , manufacture of rubber repair materials , manufacture of textile fabric impregnated, coated, covered or laminated with rubber , manufacture of rubber waterbed mattresses , manufacture of rubber bathing caps and aprons , manufacture of rubber wet suits and diving suits , manufacture of rubber sex articles , manufacture of apparel made of latex","manufacture of tyre cord fabrics, manufacture of apparel of elastic fabrics, rubber sole and other rubber parts of footwear, manufacture of glues and adhesives based on rubber, manufacture of ""camelback"" strips, manufacture of inflatable rafts and boats, manufacture of mattresses of uncovered cellular rubber, manufacture of rubber sports requisites, except apparel, e.g. swimming and paddling pools, manufacture of rubber games and toys (including children's wading pools, inflatable children rubber boats, inflatable rubber animals, balls and the like), reclaiming of rubber"
manufacturing,manufacture of rubber and plastic products,manufacture of plastics products,manufacture of plastics products,"the processing of new or spent (i.e. recycled) plastics resins into intermediate or final products, using such processes as compression molding, extrusion molding, injection molding, blow molding and casting. for most of these, the production process is such that a wide variety of products can be made. , manufacture of semi,manufactures of plastic products: * plastic plates, sheets, blocks, film, foil, strip etc. (whether self,adhesive or not) , manufacture of finished plastic products: * plastic tubes, pipes and hoses; hose and pipe fittings , manufacture of plastic articles for the packing of goods: * plastic bags, sacks, containers, boxes, cases, carboys, bottles etc. , manufacture of builders' plastics ware: * plastic doors, windows, frames, shutters, blinds, skirting boards * tanks, reservoirs * plastic floor, wall or ceiling coverings in rolls or in the form of tiles etc. * plastic sanitary ware, such as: ** plastic baths, shower baths, washbasins, lavatory pans, flushing cisterns etc. , manufacture of plastic tableware, kitchenware and toilet articles , cellophane film or sheet , manufacture of resilient floor coverings, such as vinyl, linoleum etc. , manufacture of artificial stone (e.g. cultured marble) , manufacture of plastic signs (non,electrical) , manufacture of diverse plastic products: * plastic headgear, insulating fittings, parts of lighting fittings, office or school supplies, articles of apparel (if only sealed together, not sewn), fittings for furniture, statuettes, transmission and conveyer belts, self,adhesive tapes of plastic, plastic wall paper, plastic shoe lasts, plastic cigar and cigarette holders, combs, plastics hair curlers, plastics novelties, etc; also: , general activities for the processing and finishing of plastic products, typically carried out on a fee or contract basis","manufacture of plastic luggage, manufacture of plastic footwear, manufacture of plastics in primary forms, manufacture of articles of synthetic or natural rubber, manufacture of plastic non current,carrying wiring devices (e.g. junction boxes, face plates), manufacture of plastic furniture, manufacture of mattresses of uncovered cellular plastic, manufacture of plastic sports requisites, manufacture of plastic games and toys, manufacture of plastic medical and dental appliances, manufacture of plastic ophthalmic goods, manufacture of plastics hard hats and other personal safety equipment of plastics"
manufacturing,"manufacture of other non,metallic mineral products",manufacture of glass and glass products,manufacture of glass and glass products,"the manufacture of glass in all forms, made by any process and the manufacture of articles of glass. , manufacture of flat glass, including wired, coloured or tinted flat glass , shaping and processing of flat glass , manufacture of toughened or laminated flat glass , manufacture of glass in rods or tubes , manufacture of glass paving blocks , manufacture of glass mirrors , manufacture of multiple,walled insulating units of glass , manufacture of hollow glass, such as bottles and other containers of glass or crystal, drinking glasses and other domestic glass or crystal articles , manufacture of glass fibres, including glass wool and non,woven products thereof , manufacture of laboratory, hygienic or pharmaceutical glassware , manufacture of clock or watch glasses, optical glass and optical elements not optically worked , manufacture of glassware used in imitation jewellery , manufacture of glass insulators and glass insulating fittings , manufacture of glass envelopes for lamps , manufacture of glass figurines","manufacture of woven fabrics of glass fibres, manufacture of optical elements optically worked, manufacture of fiber optic cable for data transmission or live transmission of images, manufacture of glass toys, manufacture of syringes and other medical laboratory equipment"
manufacturing,"manufacture of other non,metallic mineral products","manufacture of non,metallic mineral products n.e.c",manufacture of refractory products,"manufacture of intermediate products from mined or quarried non,metallic minerals e.g. gravel, stone or clay , manufacture of refractory mortars, concretes etc. , manufacture of refractory ceramic goods e.g.  heat,insulating ceramic goods of siliceous fossil meals  refractory bricks, blocks and tiles etc.  retorts, crucibles, muffles, nozzles, tubes, pipes etc; this class also includes: , manufacture of refractory articles containing magnesium oxide, calcium magnesium oxide or chromite",
manufacturing,"manufacture of other non,metallic mineral products","manufacture of non,metallic mineral products n.e.c",manufacture of clay building materials,"manufacture of non,refractory ceramic hearth or wall tiles, mosaic cubes etc. , manufacture of non,refractory ceramic flags and paving , manufacture of structural non,refractory clay building materials: , manufacture of flooring blocks in baked clay","manufacture of artificial stone (e.g. cultured marble), manufacture of refractory ceramic products"
manufacturing,"manufacture of other non,metallic mineral products","manufacture of non,metallic mineral products n.e.c",manufacture of other porcelain and ceramic products,"ceramic household and ornamental articles, ceramic sanitary fixtures, technical ceramic products (such as insulators, insulating fittings and permanent magnets), and other ceramic products. it includes: , manufacture of ceramic tableware and other domestic or toilet articles , manufacture of statuettes and other ornamental ceramic articles , manufacture of ceramic sanitary fixtures , manufacture of electrical insulators and insulating fittings of ceramics , manufacture of ceramic and ferrite magnets , manufacture of ceramic laboratory, chemical and industrial products , manufacture of ceramic pots, jars and similar articles of a kind used for conveyance or packing of goods , manufacture of ceramic furniture , manufacture of ceramic products n.e.c","manufacture of artificial stone (e.g. cultured marble), manufacture of refractory ceramic goods, manufacture of ceramic building materials, manufacture of ceramic sanitary fixtures, manufacture of permanent metallic magnets, manufacture of imitation jewellery, manufacture of ceramic toys, manufacture of artificial teeth"
manufacturing,"manufacture of other non,metallic mineral products","manufacture of non,metallic mineral products n.e.c","manufacture of cement, lime and plaster","manufacture of clinkers and hydraulic cements, including portland, aluminous cement, slag cement and superphosphate cements , manufacture of quicklime, slaked lime and hydraulic lime , manufacture of plasters of calcined gypsum or calcined sulphate , manufacture of calcined dolomite","manufacture of refractory mortars, concrete etc., manufacture of articles of cement, manufacture of articles of plaster, manufacture of ready,mixed and dry,mix concrete and mortars, manufacture of cements used in dentistry"
manufacturing,"manufacture of other non,metallic mineral products","manufacture of non,metallic mineral products n.e.c","manufacture of articles of concrete, cement and plaster","manufacture of precast concrete, cement or artificial stone articles for use in construction: * tiles, flagstones, bricks, boards, sheets, panels, pipes, posts etc. , manufacture of prefabricated structural components for buildings or civil engineering of cement, concrete or artificial stone , manufacture of plaster articles for use in construction: * boards, sheets, panels etc. , manufacture of building materials of vegetable substances (wood wool, straw, reeds, rushes) agglomerated with cement, plaster or other mineral binder , manufacture of articles of asbestos,cement or cellulose fibre,cement or the like: * corrugated sheets, other sheets, panels, tiles, tubes, pipes, reservoirs, troughs, basins, sinks, jars, furniture, window frames etc. , manufacture of other articles of concrete, plaster, cement or artificial stone: * statuary, furniture, bas, and haut,reliefs, vases, flowerpots etc. , manufacture of non,refractory mortars , manufacture of ready,mix and dry,mix concrete and mortars",manufacture of refractory mortars
manufacturing,"manufacture of other non,metallic mineral products","manufacture of non,metallic mineral products n.e.c","cutting, shaping and finishing of stone","cutting, shaping and finishing of stone e.g. for use in construction, in cemeteries, on roads, as roofing , manufacture of stone furniture; also: , manufacture of table tops of stone","activities carried out by operators of quarries, e.g. production of rough cut stone, production of millstones, abrasive stones and similar products"
manufacturing,"manufacture of other non,metallic mineral products","manufacture of non,metallic mineral products n.e.c","manufacture of other non,metallic mineral products n.e.c","abrasive products and other non,metallic mineral products. it includes: , manufacture of millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, trueing or cutting, hand sharpening or polishing stones , manufacture ofnatural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made , manufacture of friction material and unmounted articles thereof with a base of mineral substances or of cellulose , manufacture of mineral insulating materials: * slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays and similar heat,insulating, sound,insulating or sound,absorbing materials , manufacture of articles of diverse mineral substances: * worked mica and articles of mica, of peat, of graphite (other than electrical articles) etc. , manufacture of articles of asphalt or similar material, e.g. petroleum bitumen, coal tar pitch etc. , manufacture of carbon and graphite fibers and products (except electrodes and electrical applications) , manufacture of artificial corundum; also: , calcination of kaolin , drying and grinding of clay into clay powder","manufacture of glass wool and non,woven glass wool products, manufacture of carbon or graphite gaskets"
