brand,brandLabel,brandAlt_en,owner,ownerLabel,industries,isic_codes,country,countryLabel
http://www.wikidata.org/entity/Q3304193,Selsun Blue,Selsun Blue product|Selsun Blue product line,http://www.wikidata.org/entity/Q158205,Sanofi,,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3321458,Mr. Clean,Flash|Mister Clean|Veritably Clean,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q3322243,Kas,Kas drink|Pepsi Kas,http://www.wikidata.org/entity/Q334800,PepsiCo,,,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q3322243,Kas,Kas drink|Pepsi Kas,http://www.wikidata.org/entity/Q334800,PepsiCo,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q420953,Air Jordan,Jordans|Air Jordan product|Air Jordan product line|Air Jordan shoes,http://www.wikidata.org/entity/Q101144401,Jordan Brand,,,,
http://www.wikidata.org/entity/Q420953,Air Jordan,Jordans|Air Jordan product|Air Jordan product line|Air Jordan shoes,http://www.wikidata.org/entity/Q483915,Nike,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q483971,Stone Music Entertainment,CJ E&M Music and Live|Mnet Media|Stone Music Ent.,http://www.wikidata.org/entity/Q56063989,CJ ENM,,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q493121,Samsung Anycall,Anycall,http://www.wikidata.org/entity/Q20718,Samsung Electronics,,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q493556,Alipay,AliPay|Alipay.com,http://www.wikidata.org/entity/Q21979415,Ant Group,,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q503191,Nescafé,Nescafe,http://www.wikidata.org/entity/Q160746,Nestlé,,,http://www.wikidata.org/entity/Q39,Switzerland
